"Presentation Grid: Direction [0,1,0] (m)","Presentation Grid: Static Pressure (Pa)"
4.0E-5,238.22368275519693
4.0E-5,237.75923217085074
4.0E-5,237.19622451459873
4.0E-5,236.59392137020768
4.0E-5,236.09717897790688
4.0E-5,235.36057982236525
4.0E-5,234.8929900024741
4.0E-5,234.1484667428158
4.0E-5,233.5987081285566
4.0E-5,233.0297299111262
4.0E-5,232.5652138874866
4.0E-5,232.02723225823138
4.0E-5,231.33435947209364
4.0E-5,230.84822668420384
4.0E-5,230.24060425942298
4.0E-5,229.48884666571394
4.0E-5,228.89395065797726
4.0E-5,228.5581849933369
4.0E-5,227.8983662665123
4.0E-5,227.31668105651625
4.0E-5,226.78059894469334
4.0E-5,226.18825490784366
4.0E-5,225.63301898608916
4.0E-5,225.06323493769742
4.0E-5,224.3187668574392
4.0E-5,223.7639139854
4.0E-5,223.3109445461887
4.0E-5,222.7685213770019
4.0E-5,222.12197340404964
4.0E-5,221.55550411960576
4.0E-5,221.0413968260691
4.0E-5,220.42233421542915
4.0E-5,219.84211270444212
4.0E-5,219.30273220597883
4.0E-5,218.6930148906249
4.0E-5,218.19990960787982
4.0E-5,217.95858620558283
4.0E-5,217.20712928372086
4.0E-5,216.59173024771735
4.0E-5,215.96699115808588
4.0E-5,215.3959143757238
4.0E-5,214.89014970354037
4.0E-5,214.33774760883534
4.0E-5,213.75529876869405
4.0E-5,213.2259043729864
4.0E-5,212.66327809897484
4.0E-5,212.0335148270824
4.0E-5,211.7335407109931
4.0E-5,210.9636437515146
4.0E-5,210.4136461277376
4.0E-5,209.88232812442584
4.0E-5,209.57836559345014
4.0E-5,208.73331451817648
4.0E-5,208.19618988293223
4.0E-5,207.62095789966406
4.0E-5,207.0889604978729
4.0E-5,206.5474425032735
4.0E-5,206.01113076222828
4.0E-5,205.44630353699904
4.0E-5,204.8317725264933
4.0E-5,204.36222126655048
4.0E-5,203.870443654494
4.0E-5,203.28695737448288
4.0E-5,202.63244666327955
