"Presentation Grid: Direction [0,1,0] (m)","Presentation Grid: Density (kg/m^3)"
8.0E-5,0.252204567193985
8.0E-5,0.2523241937160492
8.0E-5,0.25246766209602356
8.0E-5,0.2526779770851135
8.0E-5,0.2528606355190277
8.0E-5,0.2528606355190277
8.0E-5,0.2530106008052826
8.0E-5,0.2531244456768036
8.0E-5,0.2531244456768036
8.0E-5,0.25336629152297974
8.0E-5,0.2534758448600769
8.0E-5,0.2536088824272156
8.0E-5,0.25376957654953003
8.0E-5,0.25399965047836304
8.0E-5,0.25408822298049927
8.0E-5,0.2542297840118408
8.0E-5,0.25424283742904663
8.0E-5,0.25442859530448914
8.0E-5,0.25460296869277954
8.0E-5,0.2546354830265045
8.0E-5,0.25470513105392456
8.0E-5,0.2549537718296051
8.0E-5,0.25507843494415283
8.0E-5,0.25520795583724976
8.0E-5,0.25536319613456726
8.0E-5,0.2554335594177246
8.0E-5,0.25553348660469055
8.0E-5,0.2558196783065796
8.0E-5,0.25587448477745056
8.0E-5,0.25591933727264404
8.0E-5,0.2561507523059845
8.0E-5,0.2562842071056366
8.0E-5,0.2562842071056366
8.0E-5,0.25641441345214844
8.0E-5,0.2566281259059906
8.0E-5,0.2568310499191284
8.0E-5,0.25692129135131836
8.0E-5,0.2570335566997528
8.0E-5,0.2570335566997528
8.0E-5,0.25714272260665894
8.0E-5,0.2572685182094574
8.0E-5,0.25733432173728943
8.0E-5,0.257480263710022
8.0E-5,0.25792211294174194
8.0E-5,0.25792360305786133
8.0E-5,0.2580222487449646
8.0E-5,0.25809386372566223
8.0E-5,0.25832825899124146
8.0E-5,0.2585265338420868
8.0E-5,0.258530855178833
8.0E-5,0.25870436429977417
8.0E-5,0.2588592767715454
8.0E-5,0.2588592767715454
8.0E-5,0.2589528560638428
8.0E-5,0.2591302692890167
8.0E-5,0.25931116938591003
8.0E-5,0.2595377564430237
8.0E-5,0.2595271170139313
8.0E-5,0.25971466302871704
8.0E-5,0.2599082589149475
8.0E-5,0.26026999950408936
8.0E-5,0.2600519061088562
8.0E-5,0.2603493332862854
8.0E-5,0.2602963447570801
8.0E-5,0.26059991121292114
8.0E-5,0.26070740818977356
8.0E-5,0.2610591650009155
8.0E-5,0.2608686685562134
8.0E-5,0.26124313473701477
8.0E-5,0.2613004446029663
8.0E-5,0.26152288913726807
8.0E-5,0.2616735100746155
8.0E-5,0.2616735100746155
8.0E-5,0.2619628310203552
8.0E-5,0.26192665100097656
8.0E-5,0.2620885968208313
8.0E-5,0.26235294342041016
8.0E-5,0.26235294342041016
8.0E-5,0.2624589204788208
8.0E-5,0.26251596212387085
8.0E-5,0.2629278302192688
8.0E-5,0.26288866996765137
8.0E-5,0.2630009651184082
8.0E-5,0.26325446367263794
8.0E-5,0.2633975148200989
8.0E-5,0.26344186067581177
8.0E-5,0.26364460587501526
8.0E-5,0.2638150751590729
8.0E-5,0.26398134231567383
8.0E-5,0.26406851410865784
8.0E-5,0.26408419013023376
8.0E-5,0.26425841450691223
8.0E-5,0.26425841450691223
