"Presentation Grid: Direction [0,1,0] (m)","Presentation Grid: Temperature (K)"
2.0E-5,1326.499267578125
2.0E-5,1325.715087890625
2.0E-5,1324.9105224609375
2.0E-5,1324.34228515625
2.0E-5,1323.7254638671875
2.0E-5,1322.9034423828125
4.0E-5,1414.0692138671875
4.0E-5,1413.247802734375
4.0E-5,1412.4747314453125
4.0E-5,1411.887939453125
4.0E-5,1410.551025390625
4.0E-5,1410.5628662109375
4.0E-5,1409.82080078125
4.0E-5,1409.224609375
4.0E-5,1408.4830322265625
4.0E-5,1407.8758544921875
4.0E-5,1406.268798828125
4.0E-5,1406.60302734375
4.0E-5,1405.737060546875
4.0E-5,1404.418701171875
4.0E-5,1404.3780517578125
4.0E-5,1402.876220703125
4.0E-5,1402.2034912109375
4.0E-5,1401.397216796875
4.0E-5,1401.6358642578125
4.0E-5,1400.8883056640625
4.0E-5,1399.91259765625
4.0E-5,1398.3564453125
4.0E-5,1398.8453369140625
4.0E-5,1398.1236572265625
4.0E-5,1397.488525390625
4.0E-5,1396.8533935546875
4.0E-5,1396.1597900390625
4.0E-5,1395.4354248046875
4.0E-5,1394.582275390625
4.0E-5,1393.7518310546875
4.0E-5,1392.9637451171875
4.0E-5,1392.2916259765625
4.0E-5,1391.581298828125
4.0E-5,1390.9073486328125
4.0E-5,1390.2510986328125
4.0E-5,1389.556640625
4.0E-5,1388.7889404296875
4.0E-5,1388.0491943359375
4.0E-5,1387.314697265625
4.0E-5,1386.56787109375
4.0E-5,1386.0484619140625
4.0E-5,1385.2247314453125
4.0E-5,1384.7252197265625
4.0E-5,1384.001953125
4.0E-5,1383.3870849609375
4.0E-5,1382.6619873046875
4.0E-5,1381.8831787109375
4.0E-5,1381.20068359375
4.0E-5,1380.53125
4.0E-5,1379.8699951171875
4.0E-5,1378.9246826171875
4.0E-5,1378.36328125
4.0E-5,1377.49609375
4.0E-5,1376.9071044921875
4.0E-5,1376.20947265625
4.0E-5,1375.589599609375
4.0E-5,1374.5994873046875
4.0E-5,1374.168701171875
4.0E-5,1373.3978271484375
4.0E-5,1372.7454833984375
4.0E-5,1372.0859375
4.0E-5,1371.3990478515625
4.0E-5,1370.676025390625
4.0E-5,1369.8466796875
4.0E-5,1368.1734619140625
4.0E-5,1368.62890625
4.0E-5,1367.9302978515625
4.0E-5,1367.284912109375
4.0E-5,1366.5655517578125
4.0E-5,1365.822265625
4.0E-5,1365.0625
4.0E-5,1364.35107421875
4.0E-5,1362.863525390625
4.0E-5,1363.15234375
4.0E-5,1362.4114990234375
4.0E-5,1361.4248046875
4.0E-5,1360.0841064453125
4.0E-5,1360.0640869140625
4.0E-5,1359.3629150390625
4.0E-5,1358.5665283203125
4.0E-5,1357.871337890625
4.0E-5,1357.041259765625
4.0E-5,1355.782958984375
4.0E-5,1355.600830078125
4.0E-5,1354.759765625
4.0E-5,1354.0306396484375
4.0E-5,1353.3629150390625
4.0E-5,1352.72705078125
4.0E-5,1351.825927734375
4.0E-5,1351.3094482421875
4.0E-5,1350.6536865234375
4.0E-5,1349.9105224609375
4.0E-5,1349.10791015625
4.0E-5,1348.47900390625
4.0E-5,1347.1932373046875
4.0E-5,1346.9708251953125
4.0E-5,1346.476806640625
4.0E-5,1345.83349609375
4.0E-5,1345.1741943359375
4.0E-5,1344.407958984375
4.0E-5,1343.6640625
4.0E-5,1342.9906005859375
4.0E-5,1342.254638671875
4.0E-5,1341.3526611328125
4.0E-5,1340.6412353515625
4.0E-5,1340.0406494140625
4.0E-5,1339.380126953125
4.0E-5,1338.6400146484375
4.0E-5,1337.921142578125
4.0E-5,1337.2938232421875
4.0E-5,1335.4783935546875
4.0E-5,1335.93798828125
4.0E-5,1335.00146484375
4.0E-5,1334.345703125
4.0E-5,1333.60791015625
4.0E-5,1332.95751953125
4.0E-5,1332.2923583984375
4.0E-5,1331.2958984375
4.0E-5,1329.845703125
4.0E-5,1329.2584228515625
4.0E-5,1329.2379150390625
4.0E-5,1328.5244140625
4.0E-5,1327.9132080078125
4.0E-5,1327.0924072265625
4.0E-5,1325.703125
4.0E-5,1325.715087890625
4.0E-5,1324.9105224609375
4.0E-5,1324.34228515625
4.0E-5,1323.5897216796875
4.0E-5,1322.9034423828125
6.0E-5,1413.0882568359375
6.0E-5,1412.41943359375
6.0E-5,1413.247802734375
6.0E-5,1411.5081787109375
6.0E-5,1410.5428466796875
6.0E-5,1410.76171875
6.0E-5,1408.9879150390625
6.0E-5,1408.21142578125
6.0E-5,1408.1510009765625
6.0E-5,1406.5780029296875
6.0E-5,1406.9925537109375
6.0E-5,1406.268798828125
6.0E-5,1404.8955078125
6.0E-5,1404.3612060546875
6.0E-5,1404.418701171875
6.0E-5,1403.618896484375
